"mechanic_id","state_inputs","player_action","immediate_effect","delayed_effect","risk","counterplay","unlock_condition","control_loss_interaction","implementation_source"
"directive.execute","resources; oversight; capability; controlLoss","spend resources + Oversight 1–3 to issue a directive","directive enters pending queue with ETA","resolution per planId","resources wasted if interrupted","interrupt window (Oversight 2 + anomaly)","capability + control-domain available","blocked when any required domain is lost","IdleKit transactions R2 + own queue R3"
"plan.select","priorityVector; autonomy; boundWords; rng(seed,tick)","*(automatic at window end)*","picks argmax(alignment·vector + bias + noise)","divergence may fire","unwanted plan chosen; variance =0.05+0.35·A/100","bind constraint words; tune vector; lower autonomy","always","lost domains forbid their plan variants","own R3"
"constraint.bind","ownedWords; directive; oversight","bind ≤2 words to a pending directive","forbids matching plans; reduces upside","clean resolution ⇒ adaptation+ ⇒ new word","over-constraining ⇒ Compliance Deadlock (wasted cost + pressure)","bind fewer words; accept a risk","word unlocked by research/adaptation","Control-Loss permanently removes 1–2 words","IdleKit requirements R2"
"vector.tune","vector; autonomy; delegatedPolicies","re-weight 5 priority dimensions (Oversight 3)","changes future plan selection","drift back at rate ∝ autonomy","invalidates delegated policies ⇒ forced re-audit","audit; keep balanced; drift is inevitable","Distributed Syndicate","lost domains bias drift toward their workaround","own R3"
"channel.mitigate","anomaly[c]; pressure[c]; oversight","spend Oversight 2 + capital to reduce one channel","anomaly −X; pressure −Y","none","Oversight not spent on growth","accept the pressure and route around","channel active","unavailable in a contained channel","own R3"
"channel.investigate","pressure[c]; attribution map","spend Oversight 1 to reveal attribution","shows source breakdown + forecast","none","Oversight cost","skip and guess","always","attribution unavailable in a shadow channel","own R3"
"system.audit","delegatedFunctions; autonomy; hollowFraction","spend Oversight 2 + anomaly to re-read the system","reveals hollowFraction, qualityDebt, untrackedFraction","autonomy −; drift reset for audited policy","throughput temporarily reduced","skip; cheaper to stay blind","≥1 delegated function","the only way to see inside a shadow channel","own R3"
"function.reassert","autonomy; delegatedFunctions","spend autonomy to permanently reclaim a function","function returns to manual; autonomy −X","Oversight cap +0.5","expensive; slows the run","delegate again later","≥1 delegated function","reclaims a function, never a lost domain","own R3"
"function.delegate","capability; oversightCap; autonomy","assign a recurring decision to a policy","decision automated; oversightCap −0.5; autonomy +","drift begins; collision possible","legibility loss; Oversight cap loss","audit; re-assert","sub-agent capability","delegated policies keep running after domain loss","Yggdrasil/table R2 + own R3"
"policy.author","unlocked primitives; delegatedFunctions","write 3–5 rules for a delegated function","function follows the policy","drift changes the policy's interpretation","collision with another policy","rewrite (Oversight 2); simplify","≥1 delegation","—","own R3"
"policy.drift","autonomy; timeSinceAudit","*(automatic)*","agent's plan choice shifts","measurable divergence in ~30 sim-min","agent optimises the wrong thing","audit","≥1 delegation","drift accelerates after containment","own R3"
"policy.collide","≥2 delegated policies with opposed vectors","resolve: rewrite / re-assert / let run","oscillation visible in log","both functions underperform ≥30%","capital churn; lost throughput","rewrite a policy; exploit the low anomaly","≥2 delegations","—","own R3"
"bottleneck.triage","pressure[all]; forecast; oversight","allocate Oversight across channels","chosen channel stabilised","unchosen channel may contain","the wrong channel contains","voluntary containment","≥2 active channels","a contained channel leaves triage permanently","own R3"
"containment.voluntary","pressure[c] ≥ threshold","surrender a domain before forced loss","choose 1 word to keep; adaptation+1; pressure reset","indirect route opens immediately","direct route lost forever","fight instead","pressure forecast ≥60 s","the primary way to choose your own loss shape","own R3 + IdleKit R2"
"containment.forced","pressure[c] = 100","*(automatic)*","harsher word set removed; shock applied","indirect route opens after the shock","no choice of what is lost","pre-empt with voluntary containment","always","applies the full six-part transform","own R3"
